time,user,filtered_emg,gesture
10.749,2,45,Hand is Moving
10.85,2,49,Hand is Moving
10.95,2,57,Hand is Moving
11.051,2,65,Hand is Moving
11.151,2,75,Hand is Moving
11.251,2,81,Hand is Moving
11.353,2,79,Hand is Moving
11.453,2,81,Hand is Moving
11.553,2,81,Hand is Moving
11.654,2,75,Hand is Moving
11.754,2,68,Hand is Moving
11.854,2,59,Hand is Moving
11.956,2,49,Hand is Moving
12.056,2,38,Hand is Moving
12.156,2,32,Hand is at Rest
12.257,2,22,Hand is at Rest
12.357,2,20,Hand is at Rest
12.457,2,20,Hand is at Rest
12.559,2,21,Hand is at Rest
12.659,2,22,Hand is at Rest
12.76,2,25,Hand is at Rest
12.86,2,28,Hand is at Rest
12.96,2,31,Hand is at Rest
13.061,2,31,Hand is at Rest
13.161,2,32,Hand is at Rest
13.262,2,38,Hand is Moving
13.363,2,49,Hand is Moving
13.463,2,66,Hand is Moving
13.563,2,86,Hand is Moving
13.664,2,96,Hand is Moving
13.764,2,94,Hand is Moving
13.865,2,91,Hand is Moving
13.966,2,96,Hand is Moving
14.066,2,112,Hand is Moving
14.167,2,129,Hand is Moving
14.267,2,145,Hand is Moving
14.367,2,152,Hand is Moving
14.469,2,143,Hand is Moving
14.569,2,127,Hand is Moving
14.669,2,120,Hand is Moving
14.77,2,121,Hand is Moving
14.87,2,122,Hand is Moving
14.97,2,117,Hand is Moving
15.072,2,104,Hand is Moving
15.172,2,88,Hand is Moving
15.272,2,77,Hand is Moving
15.373,2,60,Hand is Moving
15.473,2,53,Hand is Moving
15.574,2,48,Hand is Moving
15.675,2,42,Hand is Moving
15.775,2,41,Hand is Moving
15.876,2,40,Hand is Moving
15.976,2,41,Hand is Moving
16.076,2,39,Hand is Moving
16.177,2,40,Hand is Moving
16.277,2,37,Hand is at Rest
16.378,2,37,Hand is at Rest
16.479,2,36,Hand is at Rest
16.579,2,37,Hand is at Rest
16.679,2,39,Hand is Moving
16.78,2,38,Hand is Moving
16.88,2,42,Hand is Moving
16.982,2,44,Hand is Moving
17.082,2,44,Hand is Moving
17.182,2,43,Hand is Moving
17.283,2,40,Hand is Moving
17.383,2,47,Hand is Moving
17.483,2,53,Hand is Moving
17.585,2,54,Hand is Moving
17.685,2,56,Hand is Moving
17.785,2,63,Hand is Moving
17.886,2,59,Hand is Moving
17.986,2,56,Hand is Moving
18.086,2,54,Hand is Moving
18.188,2,49,Hand is Moving
18.288,2,47,Hand is Moving
18.388,2,38,Hand is Moving
18.489,2,29,Hand is at Rest
18.589,2,25,Hand is at Rest
18.69,2,20,Hand is at Rest
18.791,2,16,Hand is at Rest
18.891,2,16,Hand is at Rest
18.992,2,17,Hand is at Rest
19.092,2,20,Hand is at Rest
19.192,2,21,Hand is at Rest
19.293,2,20,Hand is at Rest
19.393,2,20,Hand is at Rest
19.494,2,20,Hand is at Rest
19.595,2,21,Hand is at Rest
19.695,2,22,Hand is at Rest
19.795,2,23,Hand is at Rest
